Unnamed: 0,eventID,posX,posY,layerID,clusterSize,hitID,clusterID,cposX,cposY,posSubX,posSubY,cposSubX,cposSubY,ID,posZ
53779,2028,512.8,251.5,4,10,0,8,516.8,276.5,512.0,250.0,512.8,251.5,8,4
53791,2028,510.5,270.5,5,12,0,10,496.5,292.5,510.0,269.0,510.5,270.5,10,5
53812,2030,520.8571428571429,260.85714285714283,0,7,0,0,514.8571428571429,276.85714285714283,520.0,260.0,520.8571428571429,260.85714285714283,0,0
53819,2030,520.0,254.0,1,8,0,1,525.0,274.0,519.0,253.0,520.0,254.0,1,1
53827,2030,514.2857142857143,247.0,2,7,0,2,517.2857142857143,271.0,514.0,246.0,514.2857142857143,247.0,2,2
53835,2030,503.1111111111111,243.66666666666669,3,9,0,4,492.1111111111111,267.6666666666667,503.0,242.0,503.1111111111111,243.66666666666669,4,3
53845,2030,496.5,241.5,4,12,0,6,500.5,266.5,496.0,240.0,496.5,241.5,6,4
53861,2030,491.1428571428572,238.1428571428572,5,7,0,10,477.1428571428572,260.1428571428572,491.0,237.0,491.1428571428572,238.1428571428572,10,5
53869,2031,496.2,263.5,0,10,0,1,490.2,279.5,496.0,262.0,496.2,263.5,1,0
53880,2031,488.5,264.5,1,12,0,3,493.5,284.5,488.0,263.0,488.5,264.5,3,1
53892,2031,483.5,271.5,2,12,0,4,486.5,295.5,483.0,270.0,483.5,271.5,4,2
53904,2031,478.125,275.875,3,8,0,5,467.125,299.875,477.0,275.0,478.125,275.875,5,3
53913,2031,476.0,280.5,4,12,0,7,480.0,305.5,475.0,279.0,476.0,280.5,7,4
53928,2031,484.0,279.2,5,10,0,10,470.0,301.2,483.0,278.0,484.0,279.2,10,5
53938,2032,516.6666666666667,249.66666666666669,0,3,0,0,510.6666666666667,265.6666666666667,517.0,249.0,516.6666666666667,249.66666666666669,0,0
53941,2032,520.0,259.0,0,3,0,1,514.0,275.0,520.0,258.0,520.0,259.0,1,0
53957,2032,518.5,250.0,1,2,0,4,523.5,270.0,518.0,250.0,518.5,250.0,4,1
53961,2032,528.0,264.5,1,2,0,6,533.0,284.5,528.0,264.0,528.0,264.5,6,1
53963,2032,530.0,264.5,1,2,0,7,535.0,284.5,530.0,264.0,530.0,264.5,7,1
53967,2032,518.6666666666666,254.3333333333333,2,3,0,10,521.6666666666666,278.3333333333333,518.0,254.0,518.6666666666666,254.3333333333333,10,2
53970,2032,510.0,261.0,3,1,0,11,499.0,285.0,510.0,261.0,510.0,261.0,11,3
53971,2032,539.0,281.0,3,1,0,12,528.0,305.0,539.0,281.0,539.0,281.0,12,3
53974,2032,503.5,269.5,4,4,0,15,507.5,294.5,503.0,269.0,503.5,269.5,15,4
53980,2032,498.0,275.5,5,2,0,17,484.0,297.5,498.0,275.0,498.0,275.5,17,5
53982,2032,557.0,296.0,5,1,0,18,543.0,318.0,557.0,296.0,557.0,296.0,18,5
54108,2044,509.0,246.7142857142857,0,7,0,0,503.0,262.7142857142857,508.0,246.0,509.0,246.7142857142857,0,0
54116,2044,511.125,248.125,1,8,0,2,516.125,268.125,511.0,247.0,511.125,248.125,2,1
54124,2044,513.7142857142857,249.0,2,7,0,3,516.7142857142857,273.0,513.0,248.0,513.7142857142857,249.0,3,2
54132,2044,515.0,248.7142857142857,3,7,0,5,504.0,272.7142857142857,514.0,248.0,515.0,248.7142857142857,5,3
54141,2044,517.8,248.5,4,10,0,8,521.8,273.5,517.0,247.0,517.8,248.5,8,4
54153,2044,520.7142857142858,249.0,5,7,0,10,506.7142857142857,271.0,520.0,248.0,520.7142857142858,249.0,10,5
54160,2045,512.1111111111111,231.66666666666663,0,9,0,0,506.1111111111111,247.66666666666663,512.0,230.0,512.1111111111111,231.66666666666663,0,0
54177,2045,517.0,251.0,1,1,0,2,522.0,271.0,517.0,251.0,517.0,251.0,2,1
54254,2047,516.5,273.0,0,6,0,0,510.5,289.0,516.0,272.0,516.5,273.0,0,0
54261,2047,516.4,271.0,1,5,0,2,521.4,291.0,516.0,270.0,516.4,271.0,2,1
54269,2047,516.0,264.5,2,6,0,6,519.0,288.5,515.0,264.0,516.0,264.5,6,2
54275,2047,512.8571428571428,259.85714285714283,3,7,0,7,501.8571428571428,283.85714285714283,512.0,259.0,512.8571428571428,259.85714285714283,7,3
54283,2047,510.1428571428571,254.85714285714283,4,7,0,9,514.1428571428571,279.85714285714283,509.0,254.0,510.1428571428571,254.85714285714283,9,4
54292,2047,505.875,249.25,5,8,0,11,491.875,271.25,505.0,248.0,505.875,249.25,11,5
54333,2053,503.125,254.875,0,8,0,0,497.125,270.875,502.0,254.0,503.125,254.875,0,0
54342,2053,507.0,255.5,1,8,0,2,512.0,275.5,507.0,254.0,507.0,255.5,2,1
54351,2053,509.8,258.5,2,10,0,4,512.8,282.5,509.0,257.0,509.8,258.5,4,2
54362,2053,511.875,266.125,3,8,0,6,500.875,290.125,511.0,265.0,511.875,266.125,6,3
54371,2053,517.7142857142857,272.0,4,7,0,8,521.7142857142857,297.0,517.0,271.0,517.7142857142857,272.0,8,4
54381,2053,519.8571428571428,277.1428571428572,5,7,0,11,505.8571428571428,299.1428571428572,519.0,276.0,519.8571428571428,277.1428571428572,11,5
54388,2054,498.8888888888889,233.66666666666663,0,9,0,0,492.8888888888889,249.66666666666663,499.0,232.0,498.8888888888889,233.66666666666663,0,0
54397,2054,509.0,258.0,0,9,0,1,503.0,274.0,508.0,257.0,509.0,258.0,1,0
54407,2054,496.0,231.5,1,8,0,3,501.0,251.5,496.0,230.0,496.0,231.5,3,1
54415,2054,510.0,256.7142857142857,1,7,0,4,515.0,276.7142857142857,509.0,256.0,510.0,256.7142857142857,4,1
54422,2054,491.2857142857143,230.0,2,7,0,5,494.2857142857143,254.0,491.0,229.0,491.2857142857143,230.0,5,2
54429,2054,514.0,255.2,2,10,0,6,517.0,279.2,513.0,254.0,514.0,255.2,6,2
54439,2054,485.125,230.125,3,8,0,7,474.125,254.125,485.0,229.0,485.125,230.125,7,3
54447,2054,514.5,253.5,3,12,0,8,503.5,277.5,514.0,252.0,514.5,253.5,8,3
54459,2054,484.7142857142857,229.5,4,14,0,9,488.7142857142857,254.5,484.0,228.0,484.7142857142857,229.5,9,4
54473,2054,521.0,251.28571428571428,4,7,0,10,525.0,276.2857142857143,521.0,250.0,521.0,251.28571428571428,10,4
54483,2054,482.0,223.2,5,10,0,13,468.0,245.2,481.0,222.0,482.0,223.2,13,5
54493,2054,528.1666666666666,249.16666666666669,5,6,0,14,514.1666666666666,271.1666666666667,528.0,248.0,528.1666666666666,249.16666666666669,14,5
54499,2055,502.0,243.5,0,8,0,0,496.0,259.5,502.0,242.0,502.0,243.5,0,0
54508,2055,500.125,243.875,1,8,0,2,505.125,263.875,499.0,243.0,500.125,243.875,2,1
54516,2055,495.2857142857143,246.0,2,7,0,3,498.2857142857143,270.0,495.0,245.0,495.2857142857143,246.0,3,2
54523,2055,486.7142857142857,244.0,3,7,0,4,475.7142857142857,268.0,486.0,243.0,486.7142857142857,244.0,4,3
54531,2055,481.2857142857143,243.0,4,7,0,6,485.2857142857143,268.0,481.0,242.0,481.2857142857143,243.0,6,4
54540,2055,476.2857142857143,241.0,5,7,0,8,462.2857142857143,263.0,476.0,240.0,476.2857142857143,241.0,8,5
54560,2057,552.0,282.0,5,1,0,5,538.0,304.0,552.0,282.0,552.0,282.0,5,5
54582,2060,534.8,252.8,0,10,0,0,528.8,268.8,535.0,251.0,534.8,252.8,0,0
54593,2060,538.1666666666666,250.16666666666669,1,6,0,2,543.1666666666666,270.1666666666667,538.0,249.0,538.1666666666666,250.16666666666669,2,1
54600,2060,538.6666666666666,248.5,2,12,0,4,541.6666666666666,272.5,538.0,247.0,538.6666666666666,248.5,4,2
54612,2060,538.0,247.5,3,6,0,5,527.0,271.5,537.0,247.0,538.0,247.5,5,3
54619,2060,539.8571428571429,247.1428571428572,4,7,0,7,543.8571428571429,272.1428571428572,539.0,246.0,539.8571428571429,247.1428571428572,7,4
54628,2060,542.6666666666666,247.0,5,6,0,9,528.6666666666666,269.0,542.0,246.0,542.6666666666666,247.0,9,5
54634,2061,512.8888888888889,273.3333333333333,0,9,0,0,506.8888888888889,289.3333333333333,512.0,272.0,512.8888888888889,273.3333333333333,0,0
54643,2061,504.7142857142857,278.0,1,7,0,1,509.7142857142857,298.0,504.0,277.0,504.7142857142857,278.0,1,1
54650,2061,497.0,282.0,2,5,0,2,500.0,306.0,497.0,281.0,497.0,282.0,2,2
54656,2061,489.0,286.0,3,5,0,4,478.0,310.0,489.0,285.0,489.0,286.0,4,3
54662,2061,477.1666666666667,293.1666666666667,4,6,0,6,481.1666666666667,318.1666666666667,477.0,292.0,477.1666666666667,293.1666666666667,6,4
54671,2061,465.125,299.875,5,8,0,9,451.125,321.875,464.0,299.0,465.125,299.875,9,5
54680,2062,531.0,257.0,0,1,0,0,525.0,273.0,531.0,257.0,531.0,257.0,0,0
54681,2062,533.0,257.0,0,1,0,1,527.0,273.0,533.0,257.0,533.0,257.0,1,0
54684,2062,535.0,256.0,1,1,0,4,540.0,276.0,535.0,256.0,535.0,256.0,4,1
54685,2062,537.0,256.0,1,1,0,5,542.0,276.0,537.0,256.0,537.0,256.0,5,1
54686,2062,537.0,252.0,3,1,0,6,526.0,276.0,537.0,252.0,537.0,252.0,6,3
54690,2063,503.0,234.5,0,8,0,0,497.0,250.5,503.0,233.0,503.0,234.5,0,0
54699,2063,499.2857142857143,228.0,1,7,0,2,504.2857142857143,248.0,499.0,227.0,499.2857142857143,228.0,2,1
54707,2063,493.0,225.8,2,10,0,4,496.0,249.8,493.0,224.0,493.0,225.8,4,2
54717,2063,485.0,225.0,3,9,0,5,474.0,249.0,484.0,224.0,485.0,225.0,5,3
54726,2063,482.0,220.0,4,9,0,6,486.0,245.0,481.0,219.0,482.0,220.0,6,4
54737,2063,479.5,213.5,5,12,0,8,465.5,235.5,479.0,212.0,479.5,213.5,8,5
54749,2064,522.0,264.2857142857143,0,7,0,0,516.0,280.2857142857143,522.0,263.0,522.0,264.2857142857143,0,0
54756,2064,529.0,229.0,1,1,0,1,534.0,249.0,529.0,229.0,529.0,229.0,1,1
54757,2064,524.1666666666666,262.8333333333333,1,6,0,2,529.1666666666666,282.8333333333333,524.0,262.0,524.1666666666666,262.8333333333333,2,1
54764,2064,525.125,260.875,2,8,0,4,528.125,284.875,524.0,260.0,525.125,260.875,4,2
54772,2064,524.2,258.5,3,10,0,5,513.2,282.5,524.0,257.0,524.2,258.5,5,3
54783,2064,524.0,255.7142857142857,4,7,0,7,528.0,280.7142857142857,523.0,255.0,524.0,255.7142857142857,7,4
54792,2064,524.0,252.5,5,8,0,9,510.0,274.5,524.0,251.0,524.0,252.5,9,5
54902,2069,524.0,242.3333333333333,0,3,0,0,518.0,258.3333333333333,523.0,242.0,524.0,242.3333333333333,0,0
54905,2069,522.0,244.0,0,1,0,1,516.0,260.0,522.0,244.0,522.0,244.0,1,0
54906,2069,524.8,259.5,0,10,0,2,518.8,275.5,524.0,258.0,524.8,259.5,2,0
54916,2069,511.2000000000001,224.5,1,10,0,3,516.2,244.5,511.0,223.0,511.2000000000001,224.5,3,1
54926,2069,528.1428571428571,258.7142857142857,1,7,0,4,533.1428571428571,278.7142857142857,527.0,258.0,528.1428571428571,258.7142857142857,4,1
54935,2069,530.5,256.0,2,8,0,7,533.5,280.0,530.0,255.0,530.5,256.0,7,2
54944,2069,529.5,256.0,3,6,0,9,518.5,280.0,529.0,255.0,529.5,256.0,9,3
54952,2069,531.0,255.7142857142857,4,7,0,12,535.0,280.7142857142857,530.0,255.0,531.0,255.7142857142857,12,4
